ASV_ID	s20011_0001	s20011_0002	s20011_0003	s20011_0004	s20011_0005	s20011_0006	s20011_0007	s20011_0008	s20011_0009	s20011_0010	s20011_0011	s20011_0013	s20011_0014	s20011_0015	s20011_0016	s20011_0017	s20011_0018	s20011_0019	s20011_0020	s20011_0021	s20011_0022	s20011_0023	s20011_0024	s20011_0025	s20011_0026	s20011_0027	s20011_0028	s20011_0029	s20011_0030	s20011_0031	s20011_0032	s20011_0033	s20011_0034	s20011_0035	s20011_0036	s20011_0037	s20011_0038	s20011_0039	s20011_0040	s20011_0041	s20011_0042	s20011_0043	s20011_0044	s20011_0045	s20011_0046	s20011_0047	s20011_0048	s20011_0049
b6a1cfc87c3ffa7f96227d4a372d8dd7	66	0	412	186	172	793	0	0	202	151	0	0	295	39	205	445	0	1096	0	199	241	0	140	280	125	109	0	65	0	0	909	282	1847	253	0	131	0	587	87	19	448	164	59	183	134	79	858	0
abb9ca3b1bd18ebacf5f1790cf05c84c	0	450	300	29	139	0	0	263	254	0	846	45	0	110	118	312	194	2140	669	37	36	0	44	1189	20	14	0	39	162	173	0	36	41	79	0	12	1484	130	0	0	5	404	215	56	17	448	48	356
df5c1ef25ab497ab767dcbb6be082f83	0	0	0	0	0	40	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4102	0	502	0	0	5172
c7d1ed6c70202259164edf3ee7806f0c	0	330	166	18	96	352	97	72	89	61	1146	33	181	100	1078	156	38	186	86	627	957	20	231	193	143	226	0	60	22	67	106	190	32	214	681	12	139	181	51	5	181	244	19	57	97	83	37	133
4d6fe682a4dd9aad8decfab830a193e0	0	80	56	0	489	75	0	0	287	0	0	313	0	371	124	119	400	975	128	196	353	0	87	0	91	8	24	397	1008	5	0	489	0	117	134	119	0	620	0	7	661	0	24	480	106	336	138	311
af2150fef76b295092cd60a788cbe500	398	197	264	65	126	736	0	282	79	19	253	55	248	145	824	794	124	116	44	100	81	774	540	98	43	60	0	56	276	32	351	79	111	274	40	45	53	133	16	38	39	141	163	133	91	84	200	22
28ec68ccdef6019d0b2a8843ec3912fe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7753	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c6fdf631c16099e62a83c66db8a7a6f1	0	0	169	59	246	636	0	0	0	65	1079	0	78	64	192	141	151	461	258	229	0	12	223	0	540	380	0	32	36	236	49	137	697	208	0	111	457	97	93	149	81	180	217	99	85	72	0	236
f00e27c6aadae91c727863f9902e95b2	0	0	0	1152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7099	0	0	0	0	0	0	0
75a7dd04040e23328468b763836841ac	0	0	0	0	0	0	0	0	369	0	0	0	0	0	916	0	0	0	0	16	0	0	0	0	0	0	0	1131	0	0	0	0	0	0	0	0	0	0	0	0	1223	3436	0	0	180	0	0	410
070175299e62656222c1900a4edcc5ee	0	0	287	17	0	77	0	0	400	1216	0	24	0	60	854	0	9	0	0	0	14	1458	17	0	39	8	29	0	0	224	0	0	349	62	788	0	108	0	0	0	528	271	234	9	0	160	0	0
4b9aa83dd2faf0fde6d55a983598efad	0	0	0	0	278	185	0	0	0	0	0	0	0	195	0	0	0	0	0	30	0	0	24	0	205	0	0	338	1113	0	0	0	2891	0	0	0	0	0	0	0	0	0	1485	0	0	86	17	0
8d478879084ed7c88660c8b0c4b24923	164	0	84	115	0	1709	1487	0	0	231	386	0	0	92	0	0	109	0	0	239	0	43	143	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1180	59	11	0	260	0	0	0	0	359	0
c6da490b249d5d89af322503daac81d9	0	0	0	0	8	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	2653	0	0	0	0	0	0	2902	0	0	0	0	0	0	831	190	0	0	0	0	0	0	0	0
eb4c910863320282fd9d8c743730532a	0	0	0	0	3231	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2997	0	0	0	0	0	0	0	0	0	10	0	8	110	0	0	0
2eedf896e95f02090d22dd3e68742ce7	0	93	575	0	114	191	0	407	136	0	0	27	418	331	45	16	243	115	58	199	15	89	1199	142	371	29	0	243	14	0	128	52	62	167	0	0	154	113	34	32	80	103	19	52	87	52	38	0
ae577c4e5c0201f76c9b17d36c6ef3e6	0	0	0	0	0	0	0	0	31	0	0	4182	0	607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1273
63331571011d0c5d564b93cf586fd64b	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0	0	0	445	0	0	2872	2033	0	0	0	48	0	0	0	0
93b58b0ba0d326e9c8d1a81f8672c16a	1722	0	0	14	66	0	0	0	65	122	0	123	209	46	508	0	0	126	139	1223	0	0	36	0	54	19	0	0	17	0	174	0	81	0	0	22	57	215	72	166	156	58	54	213	138	15	41	0
7440aa816171ce9e81d9b67d2dda61c6	268	0	0	44	77	38	951	914	104	0	78	21	22	46	119	419	305	61	244	0	11	563	3	13	185	61	0	0	383	0	0	14	15	40	211	55	185	132	8	0	41	158	0	38	33	20	12	0
3534b4be198dac95882f6e730b647c60	651	0	69	63	132	240	263	0	75	0	0	24	315	105	0	0	0	40	46	560	1114	0	124	46	81	195	0	67	0	0	193	73	75	215	0	0	78	94	0	8	157	141	0	126	186	72	0	19
409f711b59152d57926cf444c5577087	20	0	725	0	0	67	33	0	16	17	0	75	14	0	0	1708	253	0	0	0	0	0	1141	54	0	4	30	0	0	0	0	0	0	0	315	0	25	41	202	4	0	0	291	35	9	15	233	110
e31c7e269125382d9bd6ee8fcc1fde21	0	24	0	0	83	0	0	43	0	0	0	0	0	0	0	0	34	2422	186	0	67	0	0	11	0	0	0	0	86	75	0	0	0	0	0	0	1460	16	0	0	0	57	0	44	0	721	0	0
