Type,.pred_class,.pred_K,.pred_PDM
T3cDM,T3cDM,0.06422781520572196,0.935772184794278
H,H,0.7148992303266034,0.2851007696733966
T3cDM,T3cDM,0.0037710949458186205,0.9962289050541814
T3cDM,H,0.5117528591830185,0.48824714081698145
T3cDM,T3cDM,0.4094000580185294,0.5905999419814706
T3cDM,T3cDM,0.10963323912361977,0.8903667608763802
H,H,0.8349894196393808,0.16501058036061925
H,T3cDM,0.27376249283732146,0.7262375071626785
