term,estimate,penalty,std.error
g__Faecalibacterium,-0.5308580038187081,0.1,0.10617160076374162
g__CAG-352,-0.12671231574174913,0.1,0.025342463148349828
g__Streptococcus,0.28430912419040055,0.1,0.05686182483808011
g__Escherichia-Shigella,0.4388195385877238,0.1,0.08776390771754478
g__Blautia,0.44234671581013024,0.1,0.08846934316202605
